Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Baden-Württemberg,SK Heilbronn,08121,Feature,[object Object]
Baden-Württemberg,LK Breisgau-Hochschwarzwald,08315,Feature,[object Object]
Baden-Württemberg,SK Baden-Baden,08211,Feature,[object Object]
Baden-Württemberg,LK Freudenstadt,08237,Feature,[object Object]
Baden-Württemberg,SK Mannheim,08222,Feature,[object Object]
Baden-Württemberg,LK Calw,08235,Feature,[object Object]
Baden-Württemberg,SK Freiburg i.Breisgau,08311,Feature,[object Object]
Baden-Württemberg,LK Hohenlohekreis,08126,Feature,[object Object]
Baden-Württemberg,SK Stuttgart,08111,Feature,[object Object]
Baden-Württemberg,LK Schwarzwald-Baar-Kreis,08326,Feature,[object Object]
Baden-Württemberg,LK Ludwigsburg,08118,Feature,[object Object]
Baden-Württemberg,LK Rottweil,08325,Feature,[object Object]
Baden-Württemberg,LK Ravensburg,08436,Feature,[object Object]
Baden-Württemberg,LK Rems-Murr-Kreis,08119,Feature,[object Object]
Baden-Württemberg,LK Rastatt,08216,Feature,[object Object]
Baden-Württemberg,LK Biberach,08426,Feature,[object Object]
Baden-Württemberg,LK Bodenseekreis,08435,Feature,[object Object]
Baden-Württemberg,LK Rhein-Neckar-Kreis,08226,Feature,[object Object]
Baden-Württemberg,LK Karlsruhe,08215,Feature,[object Object]
Baden-Württemberg,LK Neckar-Odenwald-Kreis,08225,Feature,[object Object]
Baden-Württemberg,LK Zollernalbkreis,08417,Feature,[object Object]
Baden-Württemberg,LK Sigmaringen,08437,Feature,[object Object]
Baden-Württemberg,LK Lörrach,08336,Feature,[object Object]
Baden-Württemberg,SK Karlsruhe,08212,Feature,[object Object]
Baden-Württemberg,LK Ostalbkreis,08136,Feature,[object Object]
Baden-Württemberg,LK Schwäbisch Hall,08127,Feature,[object Object]
Baden-Württemberg,LK Tübingen,08416,Feature,[object Object]
Baden-Württemberg,SK Heidelberg,08221,Feature,[object Object]
Baden-Württemberg,SK Pforzheim,08231,Feature,[object Object]
Baden-Württemberg,LK Heilbronn,08125,Feature,[object Object]
Baden-Württemberg,LK Göppingen,08117,Feature,[object Object]
Baden-Württemberg,LK Heidenheim,08135,Feature,[object Object]
Baden-Württemberg,LK Esslingen,08116,Feature,[object Object]
Baden-Württemberg,LK Waldshut,08337,Feature,[object Object]
Baden-Württemberg,LK Konstanz,08335,Feature,[object Object]
Baden-Württemberg,LK Reutlingen,08415,Feature,[object Object]
Baden-Württemberg,SK Ulm,08421,Feature,[object Object]
Baden-Württemberg,LK Alb-Donau-Kreis,08425,Feature,[object Object]
Baden-Württemberg,LK Tuttlingen,08327,Feature,[object Object]
Baden-Württemberg,LK Ortenaukreis,08317,Feature,[object Object]
Baden-Württemberg,LK Emmendingen,08316,Feature,[object Object]
Baden-Württemberg,LK Enzkreis,08236,Feature,[object Object]
Baden-Württemberg,LK Böblingen,08115,Feature,[object Object]
Baden-Württemberg,LK Main-Tauber-Kreis,08128,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Bayern,LK Roth,09576,Feature,[object Object]
Bayern,LK Dachau,09174,Feature,[object Object]
Bayern,LK Lichtenfels,09478,Feature,[object Object]
Bayern,SK Aschaffenburg,09661,Feature,[object Object]
Bayern,LK Bad Kissingen,09672,Feature,[object Object]
Bayern,SK Amberg,09361,Feature,[object Object]
Bayern,SK Kempten,09763,Feature,[object Object]
Bayern,LK Dillingen a.d.Donau,09773,Feature,[object Object]
Bayern,SK Passau,09262,Feature,[object Object]
Bayern,LK Bamberg,09471,Feature,[object Object]
Bayern,SK Coburg,09463,Feature,[object Object]
Bayern,SK Bamberg,09461,Feature,[object Object]
Bayern,LK Neu-Ulm,09775,Feature,[object Object]
Bayern,LK Rhön-Grabfeld,09673,Feature,[object Object]
Bayern,LK Haßberge,09674,Feature,[object Object]
Bayern,LK Deggendorf,09271,Feature,[object Object]
Bayern,LK Weißenburg-Gunzenhausen,09577,Feature,[object Object]
Bayern,SK München,09162,Feature,[object Object]
Bayern,LK Erding,09177,Feature,[object Object]
Bayern,LK Oberallgäu,09780,Feature,[object Object]
Bayern,SK Landshut,09261,Feature,[object Object]
Bayern,LK Kelheim,09273,Feature,[object Object]
Bayern,SK Memmingen,09764,Feature,[object Object]
Bayern,LK Regensburg,09375,Feature,[object Object]
Bayern,SK Straubing,09263,Feature,[object Object]
Bayern,LK Neumarkt i.d.OPf.,09373,Feature,[object Object]
Bayern,LK Miltenberg,09676,Feature,[object Object]
Bayern,LK Fürstenfeldbruck,09179,Feature,[object Object]
Bayern,LK Starnberg,09188,Feature,[object Object]
Bayern,LK München,09184,Feature,[object Object]
Bayern,LK Lindau,09776,Feature,[object Object]
Bayern,LK Landsberg a.Lech,09181,Feature,[object Object]
Bayern,LK Altötting,09171,Feature,[object Object]
Bayern,LK Rottal-Inn,09277,Feature,[object Object]
Bayern,SK Ingolstadt,09161,Feature,[object Object]
Bayern,LK Eichstätt,09176,Feature,[object Object]
Bayern,LK Cham,09372,Feature,[object Object]
Bayern,LK Kitzingen,09675,Feature,[object Object]
Bayern,LK Neustadt/Aisch-Bad Windsheim,09575,Feature,[object Object]
Bayern,LK Freising,09178,Feature,[object Object]
Bayern,SK Rosenheim,09163,Feature,[object Object]
Bayern,LK Rosenheim,09187,Feature,[object Object]
Bayern,LK Neuburg-Schrobenhausen,09185,Feature,[object Object]
Bayern,LK Pfaffenhofen a.d.Ilm,09186,Feature,[object Object]
Bayern,LK Donau-Ries,09779,Feature,[object Object]
Bayern,SK Kaufbeuren,09762,Feature,[object Object]
Bayern,SK Hof,09464,Feature,[object Object]
Bayern,LK Regen,09276,Feature,[object Object]
Bayern,LK Ebersberg,09175,Feature,[object Object]
Bayern,LK Kulmbach,09477,Feature,[object Object]
Bayern,LK Nürnberger Land,09574,Feature,[object Object]
Bayern,LK Aschaffenburg,09671,Feature,[object Object]
Bayern,LK Tirschenreuth,09377,Feature,[object Object]
Bayern,LK Unterallgäu,09778,Feature,[object Object]
Bayern,SK Würzburg,09663,Feature,[object Object]
Bayern,LK Passau,09275,Feature,[object Object]
Bayern,SK Regensburg,09362,Feature,[object Object]
Bayern,LK Günzburg,09774,Feature,[object Object]
Bayern,LK Main-Spessart,09677,Feature,[object Object]
Bayern,LK Neustadt a.d.Waldnaab,09374,Feature,[object Object]
Bayern,LK Amberg-Sulzbach,09371,Feature,[object Object]
Bayern,SK Erlangen,09562,Feature,[object Object]
Bayern,LK Schwandorf,09376,Feature,[object Object]
Bayern,LK Mühldorf a.Inn,09183,Feature,[object Object]
Bayern,SK Weiden i.d.OPf.,09363,Feature,[object Object]
Bayern,LK Freyung-Grafenau,09272,Feature,[object Object]
Bayern,LK Forchheim,09474,Feature,[object Object]
Bayern,LK Erlangen-Höchstadt,09572,Feature,[object Object]
Bayern,SK Fürth,09563,Feature,[object Object]
Bayern,LK Wunsiedel i.Fichtelgebirge,09479,Feature,[object Object]
Bayern,LK Straubing-Bogen,09278,Feature,[object Object]
Bayern,LK Dingolfing-Landau,09279,Feature,[object Object]
Bayern,LK Landshut,09274,Feature,[object Object]
Bayern,LK Bad Tölz-Wolfratshausen,09173,Feature,[object Object]
Bayern,LK Weilheim-Schongau,09190,Feature,[object Object]
Bayern,LK Miesbach,09182,Feature,[object Object]
Bayern,LK Augsburg,09772,Feature,[object Object]
Bayern,LK Bayreuth,09472,Feature,[object Object]
Bayern,SK Augsburg,09761,Feature,[object Object]
Bayern,LK Aichach-Friedberg,09771,Feature,[object Object]
Bayern,LK Traunstein,09189,Feature,[object Object]
Bayern,LK Fürth,09573,Feature,[object Object]
Bayern,SK Nürnberg,09564,Feature,[object Object]
Bayern,LK Schweinfurt,09678,Feature,[object Object]
Bayern,SK Schweinfurt,09662,Feature,[object Object]
Bayern,SK Bayreuth,09462,Feature,[object Object]
Bayern,LK Würzburg,09679,Feature,[object Object]
Bayern,LK Ostallgäu,09777,Feature,[object Object]
Bayern,LK Berchtesgadener Land,09172,Feature,[object Object]
Bayern,LK Garmisch-Partenkirchen,09180,Feature,[object Object]
Bayern,LK Coburg,09473,Feature,[object Object]
Bayern,SK Ansbach,09561,Feature,[object Object]
Bayern,LK Kronach,09476,Feature,[object Object]
Bayern,LK Hof,09475,Feature,[object Object]
Bayern,LK Ansbach,09571,Feature,[object Object]
Bayern,SK Schwabach,09565,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Berlin,SK Berlin Mitte,11001,Feature,[object Object]
Berlin,SK Berlin Friedrichshain-Kreuzberg,11002,Feature,[object Object]
Berlin,SK Berlin Pankow,11003,Feature,[object Object]
Berlin,SK Berlin Charlottenburg-Wilmersdorf,11004,Feature,[object Object]
Berlin,SK Berlin Steglitz-Zehlendorf,11006,Feature,[object Object]
