"Code","Name","ICU_per_10000"
"AK","Alaska",2.1
"AL","Alabama",4.81666666666667
"AR","Arkansas",4.32
"AZ","Arizona",4.15
"CA","California",2.69583333333333
"CO","Colorado",2.81428571428571
"CT","Connecticut",2.53333333333333
"DE","Delaware",5.1
"FL","Florida",4.06111111111111
"GA","Georgia",3.62857142857143
"HI","Hawaii",2.7
"IA","Iowa",2.8375
"ID","Idaho",3.4
"IL","Illinois",3.43846153846154
"IN","Indiana",4.33333333333333
"KS","Kansas",3.8
"KY","Kentucky",3.44
"LA","Louisiana",4.63
"MA","Massachusetts",2.86666666666667
"MD","Maryland",2.8
"ME","Maine",2.9
"MI","Michigan",3.39333333333333
"MN","Minnesota",4.3
"MO","Missouri",4.23333333333333
"MS","Mississippi",3.76666666666667
"MT","Montana",3.43333333333333
"NC","North Carolina",3.73333333333333
"ND","North Dakota",3.05
"NE","Nebraska",4
"NH","New Hampshire",2.35
"NJ","New Jersey",2.87142857142857
"NM","New Mexico",3.3
"NV","Nevada",4.7
"NY","New York",2.66
"OH","Ohio",4.45
"OK","Oklahoma",4.2
"OR","Oregon",2.48
"PA","Pennsylvania",3.31428571428571
"RI","Rhode Island",2.9
"SC","South Carolina",4.44
"SD","South Dakota",3.45
"TN","Tennessee",4.04285714285714
"TX","Texas",4.16363636363636
"UT","Utah",2.93333333333333
"VA","Virginia",3.2
"VT","Vermont",2.6
"WA","Washington",2.58333333333333
"WI","Wisconsin",3.35
"WV","West Virginia",5.36666666666667
"WY","Wyoming",2
