"County_Name","Inhabitants"
"Abbeville, South Carolina, US",24527
"Acadia, Louisiana, US",62045
"Accomack, Virginia, US",32316
"Ada, Idaho, US",481587
"Adair, Iowa, US",7152
"Adair, Kentucky, US",19202
"Adair, Missouri, US",25343
"Adair, Oklahoma, US",22194
"Adams, Colorado, US",517421
"Adams, Idaho, US",4294
"Adams, Illinois, US",65435
"Adams, Indiana, US",35777
"Adams, Iowa, US",3602
"Adams, Mississippi, US",30693
"Adams, Nebraska, US",31363
"Adams, North Dakota, US",2216
"Adams, Ohio, US",27698
"Adams, Pennsylvania, US",103009
"Adams, Washington, US",19983
"Adams, Wisconsin, US",20220
"Addison, Vermont, US",36777
"Aiken, South Carolina, US",170872
"Aitkin, Minnesota, US",15886
"Alachua, Florida, US",269043
"Alamance, North Carolina, US",169509
"Alameda, California, US",1671329
"Alamosa, Colorado, US",16233
"Albany, New York, US",305506
"Albany, Wyoming, US",38880
"Albemarle, Virginia, US",109330
"Alcona, Michigan, US",10405
"Alcorn, Mississippi, US",36953
"Aleutians East Borough, Alaska, US",3337
"Aleutians West Census Area, Alaska, US",5634
"Alexander, Illinois, US",5761
"Alexander, North Carolina, US",37497
"Alexandria, Virginia, US",159428
"Alfalfa, Oklahoma, US",5702
"Alger, Michigan, US",9108
"Allamakee, Iowa, US",13687
"Allegan, Michigan, US",118081
"Allegany, Maryland, US",70416
"Allegany, New York, US",46091
"Alleghany, North Carolina, US",11137
"Alleghany, Virginia, US",14860
"Allegheny, Pennsylvania, US",1216045
"Allen, Indiana, US",379299
"Allen, Kansas, US",12369
"Allen, Kentucky, US",21315
"Allen, Ohio, US",102351
"Allen, Louisiana, US",25627
"Allendale, South Carolina, US",8688
"Alpena, Michigan, US",28405
"Alpine, California, US",1129
"Amador, California, US",39752
"Amelia, Virginia, US",13145
"Amherst, Virginia, US",31605
"Amite, Mississippi, US",12297
"Anchorage,Alaska, US",288000
"Anderson, Kansas, US",7858
"Anderson, Kentucky, US",22747
"Anderson, South Carolina, US",202558
"Anderson, Tennessee, US",76978
"Anderson, Texas, US",57735
"Andrew, Missouri, US",17712
"Andrews, Texas, US",18705
"Androscoggin, Maine, US",108277
"Angelina, Texas, US",86715
"Anne Arundel, Maryland, US",579234
"Anoka, Minnesota, US",356921
"Anson, North Carolina, US",24446
"Antelope, Nebraska, US",6298
"Antrim, Michigan, US",23324
"Apache, Arizona, US",71887
"Appanoose, Iowa, US",12426
"Appling, Georgia, US",18386
"Appomattox, Virginia, US",15911
"Aransas, Texas, US",23510
"Arapahoe, Colorado, US",656590
"Archer, Texas, US",8553
"Archuleta, Colorado, US",14029
"Arenac, Michigan, US",14883
"Arkansas, Arkansas, US",17486
"Arlington, Virginia, US",236842
"Armstrong, Pennsylvania, US",64735
"Armstrong, Texas, US",1887
"Aroostook, Maine, US",67055
"Arthur, Nebraska, US",463
"Ascension, Louisiana, US",126604
"Ashe, North Carolina, US",27203
"Ashland, Ohio, US",53484
"Ashland, Wisconsin, US",15562
"Ashley, Arkansas, US",19657
"Ashtabula, Ohio, US",97241
"Asotin, Washington, US",22582
"Assumption, Louisiana, US",21891
"Atascosa, Texas, US",51153
"Atchison, Kansas, US",16073
"Atchison, Missouri, US",5143
"Athens, Ohio, US",65327
"Atkinson, Georgia, US",8165
"Atlantic, New Jersey, US",263670
"Atoka, Oklahoma, US",13758
"Attala, Mississippi, US",18174
"Audrain, Missouri, US",25388
"Audubon, Iowa, US",5496
"Auglaize, Ohio, US",45656
"Augusta, Virginia, US",75558
"Aurora, South Dakota, US",2751
"Austin, Texas, US",30032
"Autauga, Alabama, US",55869
"Avery, North Carolina, US",17557
"Avoyelles, Louisiana, US",40144
"Baca, Colorado, US",3581
"Bacon, Georgia, US",11164
"Bailey, Texas, US",7000
"Baker, Florida, US",29210
"Baker, Georgia, US",3038
"Baker, Oregon, US",16124
"Baldwin, Alabama, US",223234
"Baldwin, Georgia, US",44890
"Ballard, Kentucky, US",7888
"Baltimore City, Maryland, US",593490
"Baltimore, Maryland, US",827370
"Bamberg, South Carolina, US",14066
"Bandera, Texas, US",23112
"Banks, Georgia, US",19234
"Banner, Nebraska, US",745
"Bannock, Idaho, US",87808
"Baraga, Michigan, US",8209
"Barber, Kansas, US",4427
"Barbour, Alabama, US",24686
"Barbour, West Virginia, US",16441
"Barnes, North Dakota, US",10415
"Barnstable, Massachusetts, US",212990
"Barnwell, South Carolina, US",20866
"Barren, Kentucky, US",44249
"Barron, Wisconsin, US",45244
"Barrow, Georgia, US",83240
"Barry, Michigan, US",61550
"Barry, Missouri, US",35789
"Bartholomew, Indiana, US",83779
"Barton, Kansas, US",25779
"Barton, Missouri, US",11754
"Bartow, Georgia, US",107738
"Bastrop, Texas, US",88723
"Bates, Missouri, US",16172
"Bath, Kentucky, US",12500
"Bath, Virginia, US",4147
"Baxter, Arkansas, US",41932
"Bay, Florida, US",174705
"Bay, Michigan, US",103126
"Bayfield, Wisconsin, US",15036
"Baylor, Texas, US",3509
"Beadle, South Dakota, US",18453
"Bear Lake, Idaho, US",6125
"Beaufort, North Carolina, US",46994
"Beaufort, South Carolina, US",192122
"Beauregard, Louisiana, US",37497
"Beaver, Oklahoma, US",5311
"Beaver, Pennsylvania, US",163929
"Beaver, Utah, US",6710
"Beaverhead, Montana, US",9453
"Becker, Minnesota, US",34423
"Beckham, Oklahoma, US",21859
"Bedford, Pennsylvania, US",47888
"Bedford, Tennessee, US",49713
"Bedford, Virginia, US",78997
"Bee, Texas, US",32565
"Belknap, New Hampshire, US",61303
"Bell, Kentucky, US",26032
"Bell, Texas, US",362924
"Belmont, Ohio, US",67006
"Beltrami, Minnesota, US",47188
"Ben Hill, Georgia, US",16700
"Benewah, Idaho, US",9298
"Bennett, South Dakota, US",3365
"Bennington, Vermont, US",35470
"Benson, North Dakota, US",6832
"Bent, Colorado, US",5577
"Benton, Arkansas, US",279141
"Benton, Indiana, US",8748
"Benton, Iowa, US",25645
"Benton, Minnesota, US",40889
"Benton, Mississippi, US",8259
"Benton, Missouri, US",19443
"Benton, Oregon, US",93053
"Benton, Tennessee, US",16160
"Benton, Washington, US",204390
"Benzie, Michigan, US",17766
"Bergen, New Jersey, US",932202
"Berkeley, South Carolina, US",227907
"Berkeley, West Virginia, US",119171
"Berks, Pennsylvania, US",421164
"Berkshire, Massachusetts, US",124944
"Bernalillo, New Mexico, US",679121
"Berrien, Georgia, US",19397
"Berrien, Michigan, US",153401
"Bertie, North Carolina, US",18947
"Bethel Census Area, Alaska, US",18386
"Bexar, Texas, US",2003554
"Bibb, Alabama, US",22394
"Bibb, Georgia, US",153159
"Bienville, Louisiana, US",13241
"Big Horn, Montana, US",13319
"Big Horn, Wyoming, US",11790
"Big Stone, Minnesota, US",4991
"Billings, North Dakota, US",928
"Bingham, Idaho, US",46811
"Black Hawk, Iowa, US",131228
"Blackford, Indiana, US",11758
